Y,X1,X2,X3,X4,X5,X6
128950,4,1225,0,950,77.0,WD
205000,6,1610,2,1610,,WD
178000,6,1732,2,741,77.0,WD
118964,5,1535,2,0,64.0,WD
198900,7,1226,3,1226,94.0,WD
169500,7,1818,1,1040,,WD
250000,8,1992,2,1053,75.0,WD
100000,4,1047,1,641,60.0,WD
115000,5,789,1,789,50.0,WD
115000,5,1517,0,793,85.0,WD
190000,6,1844,2,1844,105.0,COD
136900,6,1855,1,994,75.0,WD
180000,7,1430,2,384,,WD
383970,7,2696,3,1264,77.0,New
217000,6,2259,2,1809,,COD
259500,6,2320,1,1028,61.0,WD
176000,6,1458,2,729,34.0,WD
139000,5,1092,1,1092,,WD
155000,5,1125,2,1125,74.0,New
320000,7,3222,3,1673,90.0,WD
163990,6,1456,2,728,65.0,New
180000,6,988,2,938,,WD
100000,4,1123,1,732,50.0,WD
136000,6,1080,1,1080,75.0,WD
153900,6,1199,2,1199,55.0,WD
181000,6,1586,2,1362,48.0,WD
84500,6,754,0,520,60.0,WD
128000,6,958,2,1078,,WD
87000,5,840,0,672,55.0,WD
155000,6,1348,2,660,69.0,WD
150000,5,1053,2,1008,69.0,WD
226000,7,2157,2,924,88.0,WD
244000,6,2054,2,992,,WD
150750,5,1327,2,1063,75.0,WD
220000,8,1296,2,1267,,WD
180000,5,1721,2,1461,78.0,WD
174000,7,1682,2,1304,80.0,WD
143000,5,1214,1,1214,,WD
171000,7,1959,3,1907,82.0,WD
230000,8,1852,3,1004,73.0,WD
231500,6,1764,2,928,65.0,WD
115000,4,864,0,864,70.0,ConLI
260000,7,1734,2,1734,78.0,WD
166000,5,1385,2,910,71.0,WD
204000,7,1501,2,1490,78.0,WD
125000,5,1728,2,1728,70.0,ConLI
130000,6,1709,2,970,24.0,WD
105000,5,875,1,715,51.0,WD
222500,7,2035,2,884,,WD
141000,7,1080,0,1080,63.0,WD
115000,5,1344,1,896,,WD
122000,5,969,2,969,120.0,WD
372402,8,1710,3,1710,107.0,New
190000,6,1993,2,825,,WD
235000,6,1252,2,1602,,WD
125000,6,1200,1,1200,84.0,WD
79000,6,1096,0,572,60.0,WD
109500,5,1040,2,0,60.0,WD
269500,8,1968,3,774,92.0,New
254900,7,1947,2,991,100.0,WD
320000,7,2462,2,1392,134.0,New
162500,6,1232,2,1232,,WD
412500,9,2668,3,1572,110.0,WD
220000,7,1541,2,1541,95.0,New
103200,4,882,0,882,55.0,WD
152000,6,1616,1,1149,40.0,WD
127500,5,1355,0,644,62.0,WD
190000,5,1867,1,1617,,COD
325624,8,2161,3,1582,86.0,New
183500,7,1720,2,840,62.0,WD
228000,8,1707,2,1686,,WD
128500,5,1382,2,720,,WD
215000,6,1656,2,1080,141.0,WD
239000,7,1767,2,1064,44.0,WD
163000,6,1362,2,1362,80.0,COD
184000,6,1651,2,1606,47.0,WD
243000,6,2158,2,1202,84.0,WD
211000,6,2060,2,1151,97.0,WD
172500,5,1920,2,1052,,WD
501837,9,2234,3,2216,63.0,New
100000,5,968,2,968,60.0,WD
177000,6,1525,2,756,,WD
200100,7,1802,1,793,54.0,WD
120000,5,1340,1,0,60.0,WD
200000,7,2082,2,1362,63.0,WD
127000,5,1252,2,504,92.0,WD
475000,10,3608,3,1107,90.0,WD
173000,7,1217,2,1188,,WD
135000,5,1656,1,660,60.0,WD
153337,5,1224,2,1086,64.0,WD
286000,8,1593,2,1593,41.0,WD
315000,8,2727,2,853,70.0,WD
184000,7,1479,2,725,,WD
192000,7,1431,2,1431,68.0,WD
130000,7,1709,2,970,24.0,WD
127000,5,864,1,864,60.0,WD
148500,6,1456,2,855,24.0,WD
311872,7,1726,3,1726,79.0,New
235000,8,3112,2,1360,174.0,WD
104000,6,2229,0,755,92.0,WD
274900,8,1713,3,1713,76.0,WD
140000,4,1121,2,1121,80.0,WD
171500,6,1279,2,1196,75.0,WD
112000,6,1310,1,617,50.0,COD
149000,6,848,2,848,,WD
110000,5,1284,1,720,50.0,WD
180500,7,1442,2,1424,99.0,WD
143900,5,1696,1,1140,40.0,WD
141000,4,1100,1,1100,,WD
277000,7,2062,2,1157,,WD
145000,6,1092,2,1092,75.0,WD
98000,5,864,0,864,67.0,WD
186000,6,1212,2,1212,83.0,WD
252678,7,1852,2,900,72.0,New
156000,5,990,2,990,43.0,WD
161750,6,1392,1,689,,WD
134450,5,1236,1,1070,72.0,WD
210000,7,1436,2,1436,65.0,WD
107000,4,1328,1,686,57.0,WD
311500,7,1954,2,798,,WD
167240,7,1248,2,1248,43.0,New
204900,7,1498,2,1498,73.0,New
200000,6,2267,2,1010,,ConLI
179900,6,1552,2,713,85.0,WD
97000,4,864,2,864,70.0,WD
386250,10,2392,3,2392,103.0,WD
112000,5,1302,1,630,21.0,COD
290000,7,2520,3,1203,82.0,WD
106000,6,987,1,483,21.0,WD
125000,5,912,1,912,70.0,WD
192500,7,1555,2,1373,43.0,WD
148000,6,1194,1,1194,73.0,WD
403000,8,2794,3,1462,174.0,WD
94500,6,987,1,483,21.0,WD
128200,5,894,1,894,75.0,WD
216500,6,1960,2,860,,WD
89500,6,987,1,483,21.0,WD
185500,7,1414,2,1414,65.0,WD
194500,7,1744,2,996,,WD
318000,8,1694,3,1694,93.0,New
113000,6,1487,1,735,52.0,WD
262500,8,1566,2,1566,75.0,WD
110500,5,866,0,686,40.0,WD
79000,5,1440,1,540,63.0,WD
120000,6,1217,1,626,75.0,WD
205000,7,2110,2,948,,WD
241500,7,1872,2,1845,80.0,WD
137000,6,1928,1,1020,69.0,WD
140000,6,1375,2,1367,75.0,WD
180000,7,1668,2,840,72.0,WD
277000,6,2144,2,1444,,WD
76500,3,1306,0,728,55.0,WD
235000,8,1625,2,1573,44.0,WD
173000,6,1640,2,798,65.0,WD
158000,6,1302,1,1302,85.0,CWD
145000,5,1314,1,1314,70.0,WD
230000,7,2291,2,975,66.0,WD
207500,6,1728,2,864,64.0,WD
220000,7,1604,2,1604,68.0,WD
231500,7,1792,2,963,80.0,WD
97000,5,882,1,0,70.0,WD
176000,6,1382,2,1362,120.0,WD
276000,8,2574,3,1482,69.0,New
151000,6,1212,2,506,88.0,WD
130000,5,1316,2,926,50.0,WD
73000,5,764,2,680,30.0,WD
175500,6,1422,2,1422,78.0,WD
185000,6,1511,2,802,70.0,WD
179500,5,2192,1,720,60.0,WD
120500,5,778,1,740,71.0,WD
148000,6,1113,1,1143,,WD
266000,8,1939,3,1095,84.0,New
241500,7,1363,2,1385,73.0,WD
290000,8,2270,3,1152,92.0,WD
139000,6,1632,1,1240,80.0,WD
124500,5,816,1,816,76.0,WD
205000,7,1548,2,952,55.0,WD
201000,7,1560,2,1560,129.0,WD
141000,4,864,2,864,140.0,WD
415298,9,2121,3,2121,107.0,New
192000,7,2022,2,1160,83.0,WD
228500,7,1982,2,807,82.0,WD
185000,6,1262,2,1262,60.0,New
207500,7,1314,2,1314,34.0,ConLw
244600,8,1468,3,1468,74.0,New
179200,6,1575,2,1575,50.0,WD
164700,7,1250,2,625,35.0,New
159000,6,1734,2,912,77.0,WD
88000,4,858,0,858,,WD
122000,5,900,1,882,,WD
153575,6,1396,1,698,60.0,WD
233230,8,1919,2,1079,120.0,New
135900,5,1716,0,780,55.0,WD
131000,5,1716,1,768,60.0,WD
235000,7,2263,2,795,,WD
167000,6,1644,2,1416,80.0,WD
142500,6,1003,2,1003,37.0,WD
152000,5,1558,1,910,75.0,WD
239000,7,1950,2,975,66.0,WD
175000,6,1743,2,702,90.0,WD
158500,6,1152,1,1092,80.0,WD
157000,5,1336,1,1165,90.0,WD
267000,8,2452,2,1028,66.0,WD
205000,7,1541,3,1541,118.0,WD
149900,5,894,2,894,70.0,WD
295000,7,3493,3,1470,87.0,WD
305900,8,2000,3,2000,80.0,WD
225000,7,2243,3,700,116.0,WD
89500,6,1406,0,319,,WD
82500,4,861,2,861,,WD
360000,9,1944,3,1896,90.0,WD
165600,6,1501,2,697,,WD
132000,6,972,1,972,50.0,WD
119900,5,1118,2,793,65.0,WD
375000,7,2036,2,2136,150.0,WD
178000,7,1641,2,728,60.0,WD
188500,7,1432,2,716,71.0,WD
260000,7,2353,2,845,94.0,WD
270000,8,1959,3,1088,75.0,WD
260000,7,2646,3,1347,90.0,WD
187500,7,1472,2,1372,,WD
342643,9,2596,3,1249,111.0,New
354000,8,2468,3,1136,99.0,WD
301000,7,2730,2,1502,86.0,WD
126175,3,1163,1,1162,49.0,WD
242000,7,2978,2,710,96.0,WD
87000,5,803,2,720,50.0,WD
324000,8,1719,2,1719,32.0,Con
145250,6,1383,1,1383,80.0,WD
214500,6,2134,2,844,,WD
78000,5,1192,1,596,60.0,WD
119000,5,1728,1,1728,,WD
139000,5,1056,1,1056,70.0,WD
284000,8,1629,3,3206,85.0,WD
207000,7,1358,2,1358,59.0,WD
192000,6,1638,2,943,59.0,WD
228950,5,1786,2,1499,,WD
377426,9,1922,3,1922,86.0,WD
214000,7,1536,2,1536,70.0,WD
202500,7,1621,2,1208,91.0,WD
155000,6,1215,1,1215,66.0,WD
202900,8,1908,2,967,85.0,WD
82000,4,841,1,721,60.0,WD
87500,3,1040,2,0,,WD
266000,9,1684,2,1684,63.0,WD
85000,5,1112,1,536,36.0,WD
140200,6,1577,1,972,65.0,WD
151500,6,958,1,958,,WD
157500,6,1478,2,1478,,WD
154000,7,1626,2,764,36.0,WD
437154,9,2728,3,1848,56.0,New
318061,9,1869,2,1869,68.0,New
190000,7,1453,2,1453,,WD
95000,5,1111,1,616,60.0,ConLw
105900,6,720,2,624,60.0,WD
140000,6,1595,1,940,60.0,WD
177500,6,1200,2,1200,105.0,WD
173000,6,1167,2,1158,,WD
134000,5,1142,2,1142,44.0,WD
130000,5,1352,1,1062,92.0,WD
280000,8,1924,2,1086,78.0,WD
156000,6,912,2,888,,WD
145000,5,1505,1,883,,WD
198500,7,1922,2,0,64.0,ConLD
118000,6,987,1,483,21.0,WD
190000,6,1574,2,796,,WD
147000,5,1344,1,672,59.0,WD
159000,6,1394,2,1394,,WD
165000,6,1431,1,1099,101.0,WD
132000,5,1268,1,1268,78.0,WD
162000,5,1287,2,1063,,WD
172400,6,1664,2,953,,WD
134432,4,1588,2,0,80.0,WD
125000,6,752,1,744,50.0,WD
123000,5,1319,1,608,79.0,WD
219500,7,1928,2,847,65.0,WD
61000,1,904,0,683,,WD
148000,5,914,2,870,57.0,WD
340000,8,2466,2,1580,102.0,WD
394432,9,1856,3,1856,88.0,New
179000,6,1800,2,982,60.0,WD
127000,5,1691,1,1026,50.0,WD
187750,7,1301,2,1293,60.0,New
213500,7,1797,2,939,79.0,WD
76000,6,784,2,784,60.0,WD
240000,6,1953,2,1580,,WD
192000,8,1269,2,1256,43.0,WD
81000,5,1184,0,658,58.0,WD
125000,6,1125,1,1041,72.0,WD
191000,7,1479,2,1468,93.0,WD
426000,10,2332,3,1682,96.0,New
119000,5,1367,1,861,50.0,WD
215000,6,1961,2,804,71.0,WD
106500,5,882,1,0,,WD
100000,4,788,0,788,,WD
109000,5,1034,1,735,60.0,WD
129000,5,1144,1,1144,68.0,WD
123000,5,894,2,894,60.0,WD
169500,5,1812,1,864,69.0,WD
67000,5,1077,1,961,60.0,WD
241000,7,1550,2,1092,65.0,WD
245500,8,1288,2,1260,38.0,WD
164990,7,1310,2,1310,65.0,New
108000,5,672,1,672,60.0,WD
258000,8,2263,2,1141,93.0,WD
168000,6,1572,2,806,,WD
150000,4,1620,2,1281,,WD
115000,6,1639,1,1064,51.0,WD
177000,6,1680,1,840,63.0,WD
280000,7,2172,3,1063,109.0,New
339750,8,2078,3,1034,85.0,New
60000,5,1276,1,1276,68.0,COD
145000,5,1056,2,1056,100.0,WD
222000,7,1478,2,1470,,New
115000,5,1028,2,1008,56.0,WD
228000,7,2097,3,1080,59.0,WD
181134,7,1340,2,1340,73.0,New
149500,6,1400,2,672,74.0,WD
239000,6,2624,3,1370,86.0,WD
126000,5,1134,1,756,60.0,WD
142000,5,1056,1,1056,65.0,WD
206300,7,1344,4,1344,78.0,WD
215000,6,1602,2,1602,,WD
113000,5,988,2,988,100.0,WD
315000,8,2630,3,1470,80.0,WD
139000,6,1196,1,1196,72.0,WD
135000,7,1389,1,651,60.0,WD
275000,7,1644,2,1518,,WD
109008,4,907,1,907,77.0,WD
195400,7,1208,2,1208,64.0,New
175000,6,1412,2,1392,130.0,WD
85400,6,987,1,483,21.0,COD
79900,6,1198,0,901,60.0,ConLD
122500,5,1365,2,765,24.0,WD
181000,6,1604,2,926,100.0,WD
81000,4,630,0,630,21.0,WD
212000,7,1661,2,799,43.0,ConLw
116000,6,1118,2,648,40.0,WD
119000,6,904,1,884,50.0,WD
90350,5,694,1,440,40.0,WD
110000,6,1196,2,684,67.0,ConLI
555000,10,2402,3,3094,105.0,WD
118000,4,1440,0,1440,92.0,WD
162900,5,1573,2,1078,52.0,WD
172500,7,1258,3,1258,53.0,New
210000,7,1908,2,915,70.0,WD
127500,6,1689,2,1436,73.0,COD
190000,6,1888,2,1517,137.0,WD
199900,7,1886,2,930,,WD
119500,6,1376,1,780,50.0,WD
120000,3,1183,1,649,50.0,WD
110000,6,813,1,813,70.0,WD
280000,7,1533,2,1533,62.0,WD
204000,6,1756,2,872,,WD
210000,8,1590,2,768,75.0,WD
188000,5,1728,2,1728,63.0,WD
175500,7,1242,2,1242,80.0,WD
98000,5,1344,3,624,34.0,COD
256000,4,1663,2,1364,,WD
161000,8,1666,1,588,,WD
110000,5,1203,1,709,,WD
263435,8,1935,2,832,75.0,New
155000,7,1135,2,560,60.0,WD
62383,5,864,1,864,60.0,WD
188700,6,1660,1,715,74.0,WD
124000,5,1040,0,1040,60.0,WD
178740,7,1414,2,1375,,WD
167000,7,1277,2,1277,85.0,WD
146500,5,1644,1,728,79.0,WD
250000,8,1634,3,1626,98.0,WD
187000,6,1710,2,832,76.0,WD
212000,8,1502,2,1488,,WD
190000,7,1969,2,808,92.0,WD
148000,6,1072,2,547,35.0,WD
440000,8,1976,3,1976,110.0,New
251000,8,1652,2,1494,41.0,WD
132500,5,970,2,970,80.0,WD
208900,6,1493,2,1478,75.0,WD
380000,9,2643,3,2153,105.0,WD
297000,8,1718,3,1705,79.0,WD
89471,4,1131,2,907,50.0,WD
326000,9,1850,3,1833,98.0,WD
374000,9,1792,3,1792,72.0,WD
155000,7,1826,1,910,50.0,WD
164000,6,1216,2,1216,32.0,WD
132500,5,999,1,999,,WD
147000,5,1113,1,1113,80.0,WD
156000,5,1073,2,1073,79.0,WD
175000,5,1484,2,1484,70.0,WD
160000,5,2414,2,954,60.0,ConLD
86000,4,630,1,630,21.0,WD
115000,5,1304,1,264,,WD
133000,6,1578,1,806,79.0,WD
172785,6,1456,2,728,105.0,New
155000,5,1269,1,1269,70.0,WD
91300,5,886,1,190,50.0,WD
34900,4,720,0,720,60.0,WD
430000,8,3228,2,3200,,WD
184000,7,1820,1,1026,60.0,WD
130000,5,899,1,864,65.0,WD
120000,5,912,1,912,70.0,WD
113000,6,1218,1,672,21.0,WD
226700,7,1768,2,866,75.0,WD
140000,5,1214,2,1214,70.0,WD
289000,7,1801,2,1501,100.0,WD
147000,6,1322,2,855,24.0,WD
124500,5,1960,2,960,60.0,COD
215000,8,1911,2,777,80.0,WD
208300,6,1218,2,1218,75.0,New
161000,7,1378,2,689,60.0,WD
124500,5,1041,1,1041,80.0,WD
164900,5,1363,1,1008,75.0,WD
202665,7,1368,2,1368,40.0,New
129900,5,864,2,864,70.0,WD
134000,6,1080,2,1084,71.0,WD
96500,5,789,1,768,55.0,WD
402861,10,2020,3,2006,94.0,New
158000,6,2119,2,689,,COD
265000,7,2344,3,1264,79.0,WD
211000,6,1796,2,794,,WD
234000,7,2080,1,1276,53.0,WD
106250,4,1294,0,0,60.0,WD
150000,6,1244,1,1244,90.0,WD
159000,6,1664,2,1004,50.0,WD
184750,10,4676,3,3138,130.0,New
315750,7,2398,3,1379,95.0,WD
176000,7,1266,2,1257,62.0,WD
132000,5,928,1,928,70.0,WD
446261,9,2713,3,1452,67.0,New
86000,4,605,0,528,58.0,WD
200624,6,2515,2,2035,,WD
175000,6,1509,2,1461,85.0,WD
128000,6,1362,2,611,60.0,WD
107500,5,827,1,0,60.0,WD
39300,1,334,0,0,50.0,WD
178000,8,1414,2,707,74.0,WD
107500,5,1347,0,1117,70.0,WD
188000,7,1724,2,880,57.0,WD
111250,4,864,2,864,,COD
158000,5,1159,1,1051,,WD
272000,8,1601,2,1581,,WD
315000,9,1838,3,1838,85.0,WD
248000,8,2285,3,969,,WD
213250,7,1680,2,1650,78.0,WD
133000,7,767,1,723,34.0,WD
179665,7,1496,2,654,58.0,New
229000,7,2183,3,1204,,WD
210000,6,1635,2,1065,70.0,WD
129500,5,768,2,768,54.0,WD
125000,5,825,2,825,49.0,WD
263000,7,2094,2,912,75.0,WD
140000,6,1069,2,1069,53.0,COD
112500,5,928,1,928,50.0,WD
255500,8,1717,3,1709,87.0,WD
108000,4,1126,2,0,67.0,WD
284000,7,2046,3,998,85.0,WD
113000,5,1048,1,993,58.0,WD
141000,5,1092,1,1092,69.0,WD
108000,4,1336,1,637,60.0,COD
175000,7,1446,2,729,57.0,WD
234000,7,1557,2,1374,,WD
121500,5,1392,2,1392,,WD
170000,5,1389,2,1389,77.0,WD
108000,5,996,0,996,63.0,WD
185000,6,1674,2,1163,66.0,WD
268000,7,2295,2,1095,,WD
128000,6,1647,1,806,66.0,WD
325000,9,2504,3,1122,77.0,WD
214000,7,1535,2,1517,70.0,WD
316600,8,2132,2,1496,79.0,WD
135960,5,943,2,943,,WD
142600,5,1728,2,1728,74.0,WD
120000,6,864,1,864,60.0,WD
224500,7,1692,2,846,83.0,New
170000,7,1430,2,384,76.0,WD
139000,5,1109,1,372,70.0,WD
118500,5,1216,1,832,80.0,COD
145000,7,1477,1,861,52.0,WD
164500,5,1320,2,1164,96.0,WD
146000,7,1392,2,689,34.0,WD
131500,5,1795,1,1050,81.0,WD
181900,6,1429,2,1144,,WD
253293,8,2042,3,2042,98.0,New
118500,6,816,0,816,81.0,WD
325000,10,2775,2,1237,75.0,WD
133000,4,1573,1,884,51.0,WD
369900,8,2028,3,1868,88.0,New
130000,6,838,1,816,55.0,WD
137000,5,860,2,840,74.0,WD
143000,5,1473,1,1437,65.0,WD
79500,5,935,1,742,50.0,WD
185900,7,1582,2,770,64.0,WD
451950,10,2296,3,1722,97.0,ConLI
138000,5,816,2,816,60.0,WD
140000,6,848,2,848,,WD
110000,5,924,1,924,88.0,WD
319000,8,1826,3,1814,69.0,New
114504,6,1368,1,684,60.0,WD
194201,7,1402,3,1258,53.0,New
217500,5,1647,2,1430,80.0,WD
151000,6,1556,2,716,24.0,COD
275000,8,1904,2,1058,74.0,WD
141000,6,1375,1,780,50.0,WD
220000,8,1915,2,908,80.0,WD
151000,7,1200,2,600,30.0,WD
221000,7,1494,2,1494,88.0,WD
205000,7,1986,2,768,85.0,WD
152000,5,1040,2,1040,82.0,WD
225000,5,2008,1,896,78.0,WD
359100,8,3194,2,965,78.0,WD
118500,4,1029,1,1029,61.0,WD
313000,9,2153,3,1440,,WD
148000,6,1032,2,1032,,WD
261500,8,1872,2,1299,,WD
147000,5,1120,0,1120,70.0,New
75500,4,630,0,630,21.0,WD
137500,6,1054,2,936,80.0,WD
183200,6,1509,2,783,,WD
105500,6,832,2,832,59.0,WD
314813,9,1828,3,1822,90.0,New
305000,8,2262,3,1482,85.0,WD
67000,3,864,0,864,45.0,WD
240000,6,2614,2,1522,90.0,WD
135000,5,980,2,980,71.0,WD
168500,6,1512,2,756,,WD
165150,6,1790,2,732,80.0,WD
160000,6,1116,2,1116,87.0,WD
139900,5,1422,1,978,,WD
153000,6,1520,1,1156,80.0,WD
135000,5,2080,2,1040,70.0,WD
168500,6,1350,2,1248,82.0,WD
124000,5,1750,1,636,50.0,WD
209500,8,1554,2,1554,34.0,WD
82500,7,1411,2,1386,85.0,WD
139400,5,1056,1,1056,80.0,WD
144000,6,1056,2,1056,64.0,WD
200000,6,3395,0,1440,60.0,WD
60000,2,800,0,264,51.0,ConLw
93000,5,1387,1,811,50.0,WD
85000,5,796,0,796,67.0,WD
264561,8,1567,3,1520,53.0,New
274000,8,1518,2,1518,62.0,WD
226000,7,1929,2,1057,,WD
345000,8,2704,2,1952,75.0,WD
152000,5,1620,2,780,80.0,WD
370878,9,1766,3,1766,85.0,New
143250,6,981,2,981,,WD
98300,5,1048,2,0,60.0,WD
155000,6,1094,2,1094,85.0,WD
155000,6,1839,2,756,70.0,WD
84500,4,630,0,630,21.0,WD
205950,7,1665,2,813,65.0,WD
108000,4,1510,1,755,60.0,WD
191000,7,1716,2,880,70.0,WD
135000,6,1469,1,756,60.0,WD
350000,8,2113,3,2109,91.0,WD
88000,6,1092,1,525,21.0,WD
145500,5,1053,1,1053,72.0,WD
149000,7,1502,1,776,60.0,WD
97500,6,1458,1,912,78.0,WD
167000,5,1486,2,1486,75.0,WD
197900,7,1935,2,793,,WD
402000,8,2448,3,1629,52.0,WD
110000,6,1392,2,1392,120.0,WD
137500,4,1181,2,1138,90.0,WD
423000,8,2097,3,2077,49.0,New
230500,8,1936,2,1406,106.0,WD
129000,6,2380,2,1021,,WD
193500,6,1679,2,1408,65.0,WD
168000,5,1437,2,1188,,WD
137500,4,1180,1,700,80.0,WD
173500,6,1476,2,738,64.0,WD
103600,6,1369,1,672,54.0,WD
165000,6,1208,2,1208,,WD
257500,6,1839,2,1477,110.0,WD
140000,6,1136,1,1136,80.0,WD
148500,6,1441,2,855,24.0,WD
87000,4,1774,3,1095,60.0,WD
109500,5,792,1,768,52.0,WD
372500,8,2046,3,2046,80.0,New
128500,5,988,2,988,,WD
143000,6,923,1,923,50.0,WD
159434,5,1520,1,793,55.0,WD
173000,6,1291,2,1291,,WD
285000,9,1668,3,1626,90.0,WD
221000,7,1839,2,1195,58.0,WD
207500,7,2090,2,1190,,WD
227875,7,1761,2,874,84.0,New
148800,7,1102,2,551,,WD
392000,8,1419,2,1419,60.0,New
194700,6,1362,2,1362,61.0,WD
141000,6,848,2,848,,WD
755000,10,4316,3,2444,104.0,WD
335000,7,2519,2,1210,42.0,WD
108480,5,1073,1,1073,60.0,WD
141500,5,1539,2,927,51.0,WD
176000,6,1137,2,1112,54.0,WD
89000,5,616,1,616,50.0,WD
123500,5,1148,1,980,57.0,WD
138500,5,894,1,894,65.0,WD
196000,7,1391,2,1391,59.0,WD
312500,8,1800,3,1800,85.0,WD
140000,7,1164,2,1164,80.0,COD
361919,8,2576,3,1234,82.0,New
140000,5,1812,2,360,76.0,WD
213000,7,1484,2,1473,70.0,WD
55000,4,1092,0,0,70.0,WD
302000,7,1824,2,1643,,WD
254000,8,1324,2,1324,48.0,WD
179540,7,1456,2,728,65.0,New
109900,5,904,1,876,,WD
52000,3,729,0,270,56.0,WD
102776,4,1178,1,859,66.0,WD
189000,8,1228,2,1228,40.0,WD
129000,4,960,2,960,60.0,WD
130500,6,1479,2,725,,WD
165000,6,1350,2,1064,78.0,WD
159500,7,2554,2,718,60.0,WD
157000,5,1178,2,1176,80.0,WD
341000,7,2418,3,1311,96.0,WD
128500,5,971,1,971,69.0,WD
275000,8,1742,2,1742,,WD
143000,6,848,2,848,,WD
124500,4,864,2,864,70.0,WD
135000,4,1470,1,941,60.0,WD
320000,9,1698,3,1698,86.0,WD
120500,4,864,2,864,60.0,WD
222000,6,1680,2,880,,WD
194500,7,1232,2,1232,64.0,WD
110000,5,1776,3,1584,85.0,COD
103000,4,1208,2,780,52.0,WD
236500,8,1616,2,1595,39.0,WD
187500,7,1146,2,868,73.0,WD
222500,7,2031,2,1153,75.0,WD
131400,5,1144,1,864,80.0,WD
108000,5,948,1,948,,WD
163000,7,1768,2,880,60.0,WD
93500,3,1040,2,0,60.0,WD
239900,8,1801,3,893,72.0,WD
179000,5,1200,0,1200,60.0,WD
190000,7,1728,2,864,65.0,WD
132000,5,1432,2,264,60.0,WD
142000,6,912,1,912,65.0,WD
